strategy,baseline,metric,mean_difference,ci_95_low,ci_95_high,cohens_dz,p_value
personalized,popularity,peak_load_ratio,-0.6933190730837787,-0.7115703398267331,-0.6750678063408243,-14.184746750296664,3.3225869280768536e-35
personalized,popularity,overcrowded_poi_time_pct,-1.6666666666666663,-1.6666666666666665,-1.666666666666666,-3689919571873592.0,0.0
personalized,popularity,top_10_visit_share,-0.64063,-0.6419637105862592,-0.6392962894137408,-179.36063180115715,3.937684517744076e-67
personalized,popularity,visit_gini,-0.49772266666666665,-0.4988760326987935,-0.4965693006345398,-161.13938936993284,8.799015808258883e-66
personalized,popularity,district_entropy,0.27615516386724454,0.26761535454798513,0.28469497318650394,12.074980720343614,3.455680760350084e-33
personalized,popularity,catalog_coverage,0.5755555555555556,0.5699572460631266,0.5811538650479846,38.389441809229844,1.01712085660733e-47
personalized,popularity,tourist_satisfaction,0.2564422482009025,0.2558231613300451,0.2570613350717599,154.67475359256738,2.8847014939166954e-65
personalized,popularity,recommendation_acceptance,0.008475,0.007662854602728484,0.009287145397271516,3.896613857145216,2.8016893860469363e-19
personalized,popularity,mean_distance_km,0.8804983214640844,0.8750093437263937,0.885987299201775,59.898854094864966,2.5511268534305753e-53
personalized,popularity,budget_compliance,0.0,0.0,0.0,0.0,
personalized,popularity,precision_at_5,0.5520256666666667,0.5502982532310545,0.553753080102279,119.32856798017046,5.3395975564940375e-62
personalized,popularity,recall_at_5,0.4214675080771195,0.42004874397993364,0.4228862721743054,110.92651292226971,4.436152409423182e-61
personalized,popularity,diversity,-0.5593260000000001,-0.5604647439470696,-0.5581872560529306,-183.40888782403118,2.0613161033477435e-67
personalized,popularity,novelty,0.36015411,0.3596636442505206,0.36064457574947945,274.1960167359019,1.7768845222895052e-72
personalized,popularity,exposure_fairness,0.49772266666666665,0.4965693006345398,0.4988760326987935,161.13938936993284,8.799015808258883e-66
personalized,popularity,mean_sustainability,0.12844854999999994,0.12812145760359114,0.12877564239640873,146.6358660558278,1.3560342124997824e-64
personalized,popularity,mean_local_economic,0.11389250000000001,0.11320699437399491,0.1145780056260051,62.03910926094323,9.218902257588675e-54
personalized,popularity,completed_visit_share,0.0,0.0,0.0,0.0,
sustainability,popularity,peak_load_ratio,-0.7095614973262031,-0.7208943664893124,-0.6982286281630938,-23.379306131173635,1.7645158610240997e-41
sustainability,popularity,overcrowded_poi_time_pct,-1.6666666666666663,-1.6666666666666665,-1.666666666666666,-3689919571873592.0,0.0
sustainability,popularity,top_10_visit_share,-0.7004199999999999,-0.7014217690417428,-0.6994182309582571,-261.0792661880297,7.362496797254212e-72
sustainability,popularity,visit_gini,-0.44782,-0.448682956430047,-0.44695704356995297,-193.77425133027893,4.185697245417495e-68
sustainability,popularity,district_entropy,0.3015078377416131,0.29298870687650114,0.3100269686067251,13.215535560610764,2.5610320203875383e-34
sustainability,popularity,catalog_coverage,0.5744444444444444,0.5693455385350288,0.5795433503538601,42.06806020602473,7.170685625957846e-49
sustainability,popularity,tourist_satisfaction,0.1868795862501401,0.1862380972720488,0.1875210752282314,108.78126783760081,7.815260947829967e-61
sustainability,popularity,recommendation_acceptance,0.022396666666666672,0.021435117008374673,0.023358216324958672,8.697473608502118,4.3025590197580934e-29
sustainability,popularity,mean_distance_km,0.6885662857317549,0.6805924427794624,0.6965401286840475,32.24478813983252,1.5941202319513672e-45
sustainability,popularity,budget_compliance,0.0,0.0,0.0,0.0,
sustainability,popularity,precision_at_5,0.2706286666666667,0.2695497598801753,0.27170757345315805,93.66370309396866,5.987848454114443e-59
sustainability,popularity,recall_at_5,0.17491381257310518,0.17378821390937077,0.17603941123683958,58.02591378516793,6.408016553571353e-53
sustainability,popularity,diversity,-0.01317266666666665,-0.013706041193239949,-0.012639292140093352,-9.221952541309154,8.030958647573635e-30
sustainability,popularity,novelty,0.3880873333333333,0.38756649817446953,0.38860816849219704,278.23427316406594,1.1628572851609846e-72
sustainability,popularity,exposure_fairness,0.44782,0.44695704356995297,0.448682956430047,193.77425133027893,4.185697245417495e-68
sustainability,popularity,mean_sustainability,0.14218953333333323,0.14194282094378108,0.14243624572288538,215.20785569714823,1.9975514753936105e-69
sustainability,popularity,mean_local_economic,0.1395774833333334,0.13911509416360246,0.14003987250306432,112.71693249270362,2.7884401745629015e-61
sustainability,popularity,completed_visit_share,0.0,0.0,0.0,0.0,
